-------------------------------------------------------------------------
data          czas      rozmiar  plik              opis
2017-03-27    23:59       98 kB  MIL023.txt        MILLENNIUM Globalny Strategii Alternatywnych
2017-03-27    23:59      118 kB  NOB001.txt        NOBLE FUND Pieniezny
2017-03-27    23:59      117 kB  NOB002.txt        NOBLE FUND Mieszany 
2017-03-27    23:59      117 kB  NOB003.txt        NOBLE FUND Akcji    
2017-03-27    23:59      102 kB  NOB004.txt        NOBLE FUND Akcji Malych i Srednich Spolek
2017-03-27    23:59      104 kB  NOB005.txt        NOBLE FUND Stab. Wzrostu Plus
2017-03-27    23:59       99 kB  NOB006.txt        NOBLE FUND Timingowy
2017-03-27    23:59       92 kB  NOB007.txt        NOBLE FUND Global Return
2017-03-27    23:59       68 kB  NOB010.txt        NOBLE FUND Africa and Frontier
2017-03-27    23:59       33 kB  NOB018.txt        NOBLE FUND Obligacji
2017-03-27    23:59       49 kB  OFT001.txt        OPEN Akcji          
2017-03-27    23:59       46 kB  OFT002.txt        OPEN MiS Spolek     
2017-03-27    23:59       48 kB  OFT003.txt        OPEN Aktywnej Alokacji
2017-03-27    23:59       50 kB  OFT004.txt        OPEN Obligacji      
2017-03-27    23:59       50 kB  OFT005.txt        OPEN Pieniezny      
2017-03-27    23:59       50 kB  OFT006.txt        OPEN Stabilnego Wzrostu
2017-03-27    23:59      211 kB  SKA001.txt        SKARBIEC Obligacja  
2017-03-27    23:59      223 kB  SKA002.txt        SKARBIEC Depozytowy 
2017-03-27    23:59      214 kB  SKA003.txt        SKARBIEC Rynkow Wschodzacych
2017-03-27    23:59      189 kB  SKA004.txt        SKARBIEC III Filar  
2017-03-27    23:59      228 kB  SKA005.txt        SKARBIEC Kasa       
2017-03-27    23:59      227 kB  SKA006.txt        SKARBIEC Waga       
2017-03-27    23:59      224 kB  SKA007.txt        SKARBIEC Akcja      
2017-03-27    23:59      177 kB  SKA008.txt        SKARBIEC Rynkow Rozwinietych
2017-03-27    23:59      139 kB  SKA017.txt        SKARBIEC Top Funduszy Akcji SFIO
2017-03-27    23:59      139 kB  SKA018.txt        SKARBIEC Top Fund. Stab. SFIO
2017-03-27    23:59      117 kB  SKA024.txt        SKARBIEC Market Opportunities
2017-03-27    23:59      104 kB  SKA027.txt        SKARBIEC Spolek Wzrostowych
2017-03-27    23:59      102 kB  SKA028.txt        SKARBIEC Malych i Srednich Spolek
2017-03-27    23:59      106 kB  SKA031.txt        SKARBIEC Globalny Malych i Srednich Spolek
2017-03-27    23:59      101 kB  SKA033.txt        SKARBIEC Rynkow Surowcowych
2017-03-27    23:59       97 kB  SKA034.txt        SKARBIEC Top Brands 
2017-03-27    23:59       66 kB  SKA042.txt        SKARBIEC Lokacyjny  
2017-03-27    23:59       47 kB  SKA049.txt        SKARBIEC Market Neutral
2017-03-27    23:59       36 kB  SKA054.txt        SKARBIEC JPMorgan Emerging Markets Opportunities
2017-03-27    23:59       37 kB  SKA055.txt        SKARBIEC JPMorgan Global High Yield Bond
2017-03-27    23:59       37 kB  SKA056.txt        SKARBIEC JPMorgan Global Strategic Bond
